block_order,judgment,video_id
1,likeability,13
1,likeability,14
1,likeability,3
2,self_other,7
2,self_other,8
2,self_other,16
3,mentalizing,10
3,mentalizing,15
3,mentalizing,11
4,self_other,3
4,self_other,17
4,self_other,13
5,mentalizing,7
5,mentalizing,6
5,mentalizing,17
6,self_other,12
6,self_other,1
6,self_other,10
7,mentalizing,8
7,mentalizing,12
7,mentalizing,20
8,self_other,2
8,self_other,4
8,self_other,6
9,likeability,5
9,likeability,17
9,likeability,15
10,self_other,14
10,self_other,21
10,self_other,15
11,mentalizing,9
11,mentalizing,3
11,mentalizing,21
12,likeability,20
12,likeability,8
12,likeability,6
13,mentalizing,5
13,mentalizing,2
13,mentalizing,13
14,likeability,4
14,likeability,9
14,likeability,16
15,mentalizing,4
15,mentalizing,16
15,mentalizing,1
16,likeability,21
16,likeability,1
16,likeability,11
17,mentalizing,19
17,mentalizing,18
17,mentalizing,14
18,likeability,19
18,likeability,12
18,likeability,18
19,self_other,19
19,self_other,9
19,self_other,11
20,likeability,7
20,likeability,10
20,likeability,2
21,self_other,20
21,self_other,5
21,self_other,18
