block_order,judgment,video_id
1,likeability,12
1,likeability,19
1,likeability,18
2,mentalizing,11
2,mentalizing,10
2,mentalizing,15
3,self_other,1
3,self_other,12
3,self_other,10
4,likeability,13
4,likeability,3
4,likeability,14
5,self_other,16
5,self_other,8
5,self_other,7
6,mentalizing,7
6,mentalizing,17
6,mentalizing,6
7,self_other,15
7,self_other,14
7,self_other,21
8,mentalizing,12
8,mentalizing,8
8,mentalizing,20
9,self_other,6
9,self_other,4
9,self_other,2
10,likeability,15
10,likeability,17
10,likeability,5
11,mentalizing,3
11,mentalizing,21
11,mentalizing,9
12,likeability,2
12,likeability,10
12,likeability,7
13,mentalizing,13
13,mentalizing,5
13,mentalizing,2
14,likeability,6
14,likeability,20
14,likeability,8
15,self_other,11
15,self_other,9
15,self_other,19
16,likeability,4
16,likeability,9
16,likeability,16
17,mentalizing,4
17,mentalizing,1
17,mentalizing,16
18,self_other,3
18,self_other,13
18,self_other,17
19,mentalizing,18
19,mentalizing,14
19,mentalizing,19
20,likeability,11
20,likeability,21
20,likeability,1
21,self_other,18
21,self_other,20
21,self_other,5
