block_order,judgment,video_id
1,likeability,10
1,likeability,7
1,likeability,2
2,self_other,6
2,self_other,2
2,self_other,4
3,likeability,1
3,likeability,11
3,likeability,21
4,self_other,10
4,self_other,12
4,self_other,1
5,likeability,6
5,likeability,20
5,likeability,8
6,mentalizing,15
6,mentalizing,10
6,mentalizing,11
7,self_other,18
7,self_other,5
7,self_other,20
8,likeability,14
8,likeability,3
8,likeability,13
9,self_other,16
9,self_other,7
9,self_other,8
10,mentalizing,7
10,mentalizing,6
10,mentalizing,17
11,self_other,13
11,self_other,17
11,self_other,3
12,mentalizing,12
12,mentalizing,20
12,mentalizing,8
13,likeability,18
13,likeability,19
13,likeability,12
14,mentalizing,3
14,mentalizing,9
14,mentalizing,21
15,likeability,5
15,likeability,17
15,likeability,15
16,mentalizing,13
16,mentalizing,5
16,mentalizing,2
17,self_other,21
17,self_other,14
17,self_other,15
18,likeability,9
18,likeability,16
18,likeability,4
19,mentalizing,16
19,mentalizing,4
19,mentalizing,1
20,self_other,19
20,self_other,9
20,self_other,11
21,mentalizing,18
21,mentalizing,14
21,mentalizing,19
