block_order,judgment,video_id
1,self_other,6
1,self_other,2
1,self_other,4
2,likeability,16
2,likeability,4
2,likeability,9
3,mentalizing,10
3,mentalizing,11
3,mentalizing,15
4,likeability,3
4,likeability,13
4,likeability,14
5,self_other,5
5,self_other,20
5,self_other,18
6,mentalizing,17
6,mentalizing,7
6,mentalizing,6
7,likeability,18
7,likeability,19
7,likeability,12
8,mentalizing,8
8,mentalizing,20
8,mentalizing,12
9,self_other,19
9,self_other,9
9,self_other,11
10,likeability,20
10,likeability,6
10,likeability,8
11,self_other,21
11,self_other,14
11,self_other,15
12,mentalizing,3
12,mentalizing,9
12,mentalizing,21
13,likeability,7
13,likeability,2
13,likeability,10
14,mentalizing,5
14,mentalizing,2
14,mentalizing,13
15,likeability,5
15,likeability,17
15,likeability,15
16,self_other,3
16,self_other,17
16,self_other,13
17,mentalizing,1
17,mentalizing,4
17,mentalizing,16
18,self_other,8
18,self_other,7
18,self_other,16
19,mentalizing,19
19,mentalizing,18
19,mentalizing,14
20,self_other,1
20,self_other,10
20,self_other,12
21,likeability,11
21,likeability,1
21,likeability,21
