block_order,judgment,video_id
1,self_other,19
1,self_other,9
1,self_other,11
2,likeability,11
2,likeability,1
2,likeability,21
3,mentalizing,11
3,mentalizing,10
3,mentalizing,15
4,self_other,20
4,self_other,5
4,self_other,18
5,likeability,8
5,likeability,20
5,likeability,6
6,mentalizing,17
6,mentalizing,7
6,mentalizing,6
7,likeability,2
7,likeability,7
7,likeability,10
8,self_other,6
8,self_other,2
8,self_other,4
9,likeability,4
9,likeability,16
9,likeability,9
10,mentalizing,12
10,mentalizing,8
10,mentalizing,20
11,likeability,5
11,likeability,17
11,likeability,15
12,self_other,13
12,self_other,17
12,self_other,3
13,mentalizing,21
13,mentalizing,3
13,mentalizing,9
14,likeability,12
14,likeability,19
14,likeability,18
15,mentalizing,2
15,mentalizing,5
15,mentalizing,13
16,self_other,15
16,self_other,21
16,self_other,14
17,mentalizing,1
17,mentalizing,16
17,mentalizing,4
18,self_other,7
18,self_other,8
18,self_other,16
19,mentalizing,19
19,mentalizing,14
19,mentalizing,18
20,self_other,12
20,self_other,1
20,self_other,10
21,likeability,13
21,likeability,14
21,likeability,3
