block_order,judgment,video_id
1,mentalizing,15
1,mentalizing,11
1,mentalizing,10
2,likeability,9
2,likeability,4
2,likeability,16
3,mentalizing,17
3,mentalizing,6
3,mentalizing,7
4,likeability,15
4,likeability,17
4,likeability,5
5,self_other,11
5,self_other,9
5,self_other,19
6,mentalizing,8
6,mentalizing,20
6,mentalizing,12
7,self_other,13
7,self_other,3
7,self_other,17
8,likeability,10
8,likeability,2
8,likeability,7
9,self_other,6
9,self_other,2
9,self_other,4
10,likeability,8
10,likeability,6
10,likeability,20
11,self_other,8
11,self_other,7
11,self_other,16
12,mentalizing,9
12,mentalizing,3
12,mentalizing,21
13,likeability,3
13,likeability,13
13,likeability,14
14,self_other,15
14,self_other,14
14,self_other,21
15,mentalizing,2
15,mentalizing,5
15,mentalizing,13
16,likeability,1
16,likeability,11
16,likeability,21
17,self_other,18
17,self_other,20
17,self_other,5
18,mentalizing,4
18,mentalizing,16
18,mentalizing,1
19,likeability,19
19,likeability,18
19,likeability,12
20,mentalizing,19
20,mentalizing,14
20,mentalizing,18
21,self_other,10
21,self_other,1
21,self_other,12
