block_order,judgment,video_id
1,self_other,7
1,self_other,16
1,self_other,8
2,mentalizing,15
2,mentalizing,10
2,mentalizing,11
3,likeability,15
3,likeability,5
3,likeability,17
4,mentalizing,17
4,mentalizing,7
4,mentalizing,6
5,self_other,9
5,self_other,11
5,self_other,19
6,likeability,4
6,likeability,16
6,likeability,9
7,mentalizing,20
7,mentalizing,8
7,mentalizing,12
8,self_other,10
8,self_other,12
8,self_other,1
9,likeability,18
9,likeability,12
9,likeability,19
10,self_other,2
10,self_other,4
10,self_other,6
11,likeability,11
11,likeability,21
11,likeability,1
12,self_other,14
12,self_other,21
12,self_other,15
13,mentalizing,21
13,mentalizing,9
13,mentalizing,3
14,self_other,13
14,self_other,17
14,self_other,3
15,likeability,13
15,likeability,3
15,likeability,14
16,mentalizing,13
16,mentalizing,2
16,mentalizing,5
17,self_other,5
17,self_other,18
17,self_other,20
18,mentalizing,1
18,mentalizing,16
18,mentalizing,4
19,likeability,8
19,likeability,20
19,likeability,6
20,mentalizing,19
20,mentalizing,14
20,mentalizing,18
21,likeability,2
21,likeability,7
21,likeability,10
