block_order,judgment,video_id
1,self_other,16
1,self_other,7
1,self_other,8
2,mentalizing,11
2,mentalizing,15
2,mentalizing,10
3,likeability,11
3,likeability,21
3,likeability,1
4,mentalizing,17
4,mentalizing,7
4,mentalizing,6
5,self_other,15
5,self_other,14
5,self_other,21
6,likeability,8
6,likeability,6
6,likeability,20
7,self_other,1
7,self_other,12
7,self_other,10
8,likeability,12
8,likeability,18
8,likeability,19
9,mentalizing,20
9,mentalizing,12
9,mentalizing,8
10,likeability,17
10,likeability,15
10,likeability,5
11,mentalizing,9
11,mentalizing,3
11,mentalizing,21
12,likeability,2
12,likeability,10
12,likeability,7
13,mentalizing,2
13,mentalizing,13
13,mentalizing,5
14,likeability,16
14,likeability,9
14,likeability,4
15,self_other,11
15,self_other,19
15,self_other,9
16,mentalizing,16
16,mentalizing,4
16,mentalizing,1
17,self_other,18
17,self_other,5
17,self_other,20
18,likeability,3
18,likeability,14
18,likeability,13
19,self_other,4
19,self_other,2
19,self_other,6
20,mentalizing,19
20,mentalizing,14
20,mentalizing,18
21,self_other,17
21,self_other,3
21,self_other,13
