block_order,judgment,video_id
1,likeability,21
1,likeability,1
1,likeability,11
2,self_other,8
2,self_other,7
2,self_other,16
3,likeability,16
3,likeability,9
3,likeability,4
4,mentalizing,15
4,mentalizing,11
4,mentalizing,10
5,self_other,13
5,self_other,3
5,self_other,17
6,likeability,18
6,likeability,12
6,likeability,19
7,mentalizing,6
7,mentalizing,17
7,mentalizing,7
8,likeability,14
8,likeability,13
8,likeability,3
9,mentalizing,20
9,mentalizing,8
9,mentalizing,12
10,self_other,20
10,self_other,5
10,self_other,18
11,mentalizing,9
11,mentalizing,3
11,mentalizing,21
12,likeability,5
12,likeability,15
12,likeability,17
13,self_other,14
13,self_other,21
13,self_other,15
14,mentalizing,13
14,mentalizing,2
14,mentalizing,5
15,likeability,7
15,likeability,10
15,likeability,2
16,self_other,2
16,self_other,4
16,self_other,6
17,likeability,20
17,likeability,8
17,likeability,6
18,mentalizing,4
18,mentalizing,16
18,mentalizing,1
19,self_other,12
19,self_other,1
19,self_other,10
20,mentalizing,19
20,mentalizing,14
20,mentalizing,18
21,self_other,9
21,self_other,11
21,self_other,19
