block_order,judgment,video_id
1,mentalizing,15
1,mentalizing,10
1,mentalizing,11
2,self_other,9
2,self_other,11
2,self_other,19
3,likeability,7
3,likeability,10
3,likeability,2
4,self_other,20
4,self_other,18
4,self_other,5
5,mentalizing,7
5,mentalizing,6
5,mentalizing,17
6,likeability,1
6,likeability,11
6,likeability,21
7,mentalizing,8
7,mentalizing,20
7,mentalizing,12
8,likeability,5
8,likeability,15
8,likeability,17
9,self_other,3
9,self_other,17
9,self_other,13
10,mentalizing,3
10,mentalizing,9
10,mentalizing,21
11,self_other,16
11,self_other,8
11,self_other,7
12,mentalizing,13
12,mentalizing,5
12,mentalizing,2
13,self_other,15
13,self_other,14
13,self_other,21
14,likeability,9
14,likeability,16
14,likeability,4
15,mentalizing,4
15,mentalizing,16
15,mentalizing,1
16,likeability,3
16,likeability,14
16,likeability,13
17,self_other,1
17,self_other,12
17,self_other,10
18,likeability,6
18,likeability,8
18,likeability,20
19,self_other,2
19,self_other,4
19,self_other,6
20,likeability,12
20,likeability,19
20,likeability,18
21,mentalizing,14
21,mentalizing,19
21,mentalizing,18
