block_order,judgment,video_id
1,mentalizing,11
1,mentalizing,10
1,mentalizing,15
2,self_other,3
2,self_other,13
2,self_other,17
3,mentalizing,6
3,mentalizing,7
3,mentalizing,17
4,likeability,4
4,likeability,9
4,likeability,16
5,self_other,19
5,self_other,9
5,self_other,11
6,mentalizing,20
6,mentalizing,8
6,mentalizing,12
7,likeability,2
7,likeability,7
7,likeability,10
8,mentalizing,21
8,mentalizing,3
8,mentalizing,9
9,likeability,14
9,likeability,3
9,likeability,13
10,self_other,21
10,self_other,14
10,self_other,15
11,likeability,6
11,likeability,20
11,likeability,8
12,self_other,8
12,self_other,16
12,self_other,7
13,mentalizing,13
13,mentalizing,5
13,mentalizing,2
14,self_other,20
14,self_other,18
14,self_other,5
15,likeability,1
15,likeability,21
15,likeability,11
16,mentalizing,1
16,mentalizing,4
16,mentalizing,16
17,self_other,4
17,self_other,2
17,self_other,6
18,mentalizing,18
18,mentalizing,14
18,mentalizing,19
19,likeability,12
19,likeability,19
19,likeability,18
20,self_other,1
20,self_other,12
20,self_other,10
21,likeability,17
21,likeability,15
21,likeability,5
