block_order,judgment,video_id
1,self_other,9
1,self_other,19
1,self_other,11
2,mentalizing,10
2,mentalizing,15
2,mentalizing,11
3,likeability,1
3,likeability,11
3,likeability,21
4,mentalizing,6
4,mentalizing,7
4,mentalizing,17
5,likeability,13
5,likeability,14
5,likeability,3
6,self_other,4
6,self_other,2
6,self_other,6
7,likeability,18
7,likeability,19
7,likeability,12
8,mentalizing,8
8,mentalizing,12
8,mentalizing,20
9,self_other,5
9,self_other,18
9,self_other,20
10,mentalizing,9
10,mentalizing,3
10,mentalizing,21
11,likeability,8
11,likeability,6
11,likeability,20
12,self_other,13
12,self_other,3
12,self_other,17
13,likeability,7
13,likeability,10
13,likeability,2
14,mentalizing,5
14,mentalizing,13
14,mentalizing,2
15,likeability,17
15,likeability,5
15,likeability,15
16,self_other,7
16,self_other,8
16,self_other,16
17,mentalizing,4
17,mentalizing,16
17,mentalizing,1
18,self_other,14
18,self_other,21
18,self_other,15
19,likeability,9
19,likeability,4
19,likeability,16
20,self_other,10
20,self_other,1
20,self_other,12
21,mentalizing,18
21,mentalizing,14
21,mentalizing,19
