block_order,judgment,video_id
1,likeability,15
1,likeability,17
1,likeability,5
2,mentalizing,10
2,mentalizing,15
2,mentalizing,11
3,self_other,13
3,self_other,17
3,self_other,3
4,mentalizing,17
4,mentalizing,6
4,mentalizing,7
5,self_other,5
5,self_other,20
5,self_other,18
6,mentalizing,20
6,mentalizing,12
6,mentalizing,8
7,self_other,21
7,self_other,14
7,self_other,15
8,likeability,3
8,likeability,14
8,likeability,13
9,mentalizing,9
9,mentalizing,3
9,mentalizing,21
10,likeability,18
10,likeability,12
10,likeability,19
11,self_other,12
11,self_other,10
11,self_other,1
12,mentalizing,2
12,mentalizing,13
12,mentalizing,5
13,likeability,1
13,likeability,21
13,likeability,11
14,self_other,2
14,self_other,4
14,self_other,6
15,mentalizing,4
15,mentalizing,1
15,mentalizing,16
16,likeability,8
16,likeability,20
16,likeability,6
17,mentalizing,19
17,mentalizing,18
17,mentalizing,14
18,self_other,7
18,self_other,16
18,self_other,8
19,likeability,10
19,likeability,2
19,likeability,7
20,self_other,19
20,self_other,11
20,self_other,9
21,likeability,16
21,likeability,4
21,likeability,9
