block_order,judgment,video_id
1,likeability,1
1,likeability,11
1,likeability,21
2,mentalizing,15
2,mentalizing,11
2,mentalizing,10
3,likeability,2
3,likeability,10
3,likeability,7
4,self_other,10
4,self_other,1
4,self_other,12
5,likeability,4
5,likeability,9
5,likeability,16
6,mentalizing,17
6,mentalizing,6
6,mentalizing,7
7,likeability,8
7,likeability,6
7,likeability,20
8,self_other,20
8,self_other,18
8,self_other,5
9,mentalizing,12
9,mentalizing,20
9,mentalizing,8
10,self_other,15
10,self_other,21
10,self_other,14
11,mentalizing,3
11,mentalizing,21
11,mentalizing,9
12,likeability,3
12,likeability,13
12,likeability,14
13,self_other,7
13,self_other,16
13,self_other,8
14,mentalizing,5
14,mentalizing,2
14,mentalizing,13
15,likeability,15
15,likeability,5
15,likeability,17
16,self_other,11
16,self_other,9
16,self_other,19
17,mentalizing,4
17,mentalizing,1
17,mentalizing,16
18,likeability,12
18,likeability,19
18,likeability,18
19,self_other,17
19,self_other,3
19,self_other,13
20,mentalizing,18
20,mentalizing,14
20,mentalizing,19
21,self_other,2
21,self_other,4
21,self_other,6
