block_order,judgment,video_id
1,self_other,3
1,self_other,17
1,self_other,13
2,mentalizing,15
2,mentalizing,10
2,mentalizing,11
3,likeability,19
3,likeability,12
3,likeability,18
4,mentalizing,17
4,mentalizing,7
4,mentalizing,6
5,self_other,9
5,self_other,11
5,self_other,19
6,mentalizing,8
6,mentalizing,20
6,mentalizing,12
7,likeability,6
7,likeability,20
7,likeability,8
8,mentalizing,3
8,mentalizing,9
8,mentalizing,21
9,likeability,21
9,likeability,1
9,likeability,11
10,mentalizing,13
10,mentalizing,2
10,mentalizing,5
11,self_other,1
11,self_other,12
11,self_other,10
12,likeability,15
12,likeability,5
12,likeability,17
13,self_other,14
13,self_other,21
13,self_other,15
14,likeability,9
14,likeability,4
14,likeability,16
15,self_other,7
15,self_other,16
15,self_other,8
16,mentalizing,16
16,mentalizing,4
16,mentalizing,1
17,likeability,13
17,likeability,3
17,likeability,14
18,self_other,20
18,self_other,5
18,self_other,18
19,mentalizing,19
19,mentalizing,14
19,mentalizing,18
20,self_other,4
20,self_other,6
20,self_other,2
21,likeability,7
21,likeability,2
21,likeability,10
