block_order,judgment,video_id
1,likeability,12
1,likeability,19
1,likeability,18
2,self_other,2
2,self_other,6
2,self_other,4
3,mentalizing,11
3,mentalizing,10
3,mentalizing,15
4,self_other,16
4,self_other,7
4,self_other,8
5,mentalizing,7
5,mentalizing,6
5,mentalizing,17
6,self_other,11
6,self_other,19
6,self_other,9
7,likeability,4
7,likeability,9
7,likeability,16
8,self_other,18
8,self_other,5
8,self_other,20
9,likeability,5
9,likeability,15
9,likeability,17
10,mentalizing,12
10,mentalizing,20
10,mentalizing,8
11,likeability,8
11,likeability,6
11,likeability,20
12,mentalizing,9
12,mentalizing,21
12,mentalizing,3
13,self_other,17
13,self_other,13
13,self_other,3
14,likeability,10
14,likeability,7
14,likeability,2
15,mentalizing,5
15,mentalizing,13
15,mentalizing,2
16,likeability,11
16,likeability,1
16,likeability,21
17,mentalizing,1
17,mentalizing,16
17,mentalizing,4
18,self_other,21
18,self_other,15
18,self_other,14
19,likeability,14
19,likeability,3
19,likeability,13
20,self_other,12
20,self_other,10
20,self_other,1
21,mentalizing,18
21,mentalizing,14
21,mentalizing,19
