block_order,judgment,video_id
1,self_other,9
1,self_other,11
1,self_other,19
2,mentalizing,10
2,mentalizing,15
2,mentalizing,11
3,self_other,13
3,self_other,3
3,self_other,17
4,likeability,10
4,likeability,7
4,likeability,2
5,mentalizing,7
5,mentalizing,17
5,mentalizing,6
6,self_other,20
6,self_other,5
6,self_other,18
7,likeability,6
7,likeability,20
7,likeability,8
8,self_other,2
8,self_other,4
8,self_other,6
9,mentalizing,20
9,mentalizing,8
9,mentalizing,12
10,likeability,3
10,likeability,13
10,likeability,14
11,mentalizing,9
11,mentalizing,3
11,mentalizing,21
12,likeability,16
12,likeability,4
12,likeability,9
13,mentalizing,13
13,mentalizing,5
13,mentalizing,2
14,likeability,18
14,likeability,19
14,likeability,12
15,self_other,7
15,self_other,8
15,self_other,16
16,likeability,11
16,likeability,1
16,likeability,21
17,self_other,12
17,self_other,10
17,self_other,1
18,mentalizing,1
18,mentalizing,16
18,mentalizing,4
19,self_other,15
19,self_other,14
19,self_other,21
20,mentalizing,19
20,mentalizing,14
20,mentalizing,18
21,likeability,5
21,likeability,15
21,likeability,17
