block_order,judgment,video_id
1,likeability,14
1,likeability,13
1,likeability,3
2,self_other,4
2,self_other,6
2,self_other,2
3,mentalizing,15
3,mentalizing,11
3,mentalizing,10
4,self_other,9
4,self_other,19
4,self_other,11
5,mentalizing,17
5,mentalizing,7
5,mentalizing,6
6,likeability,4
6,likeability,9
6,likeability,16
7,self_other,16
7,self_other,8
7,self_other,7
8,mentalizing,8
8,mentalizing,12
8,mentalizing,20
9,likeability,8
9,likeability,6
9,likeability,20
10,self_other,17
10,self_other,13
10,self_other,3
11,mentalizing,21
11,mentalizing,3
11,mentalizing,9
12,likeability,19
12,likeability,12
12,likeability,18
13,self_other,1
13,self_other,12
13,self_other,10
14,mentalizing,5
14,mentalizing,2
14,mentalizing,13
15,likeability,7
15,likeability,2
15,likeability,10
16,mentalizing,4
16,mentalizing,1
16,mentalizing,16
17,self_other,20
17,self_other,5
17,self_other,18
18,likeability,5
18,likeability,15
18,likeability,17
19,mentalizing,14
19,mentalizing,18
19,mentalizing,19
20,likeability,1
20,likeability,11
20,likeability,21
21,self_other,15
21,self_other,21
21,self_other,14
