block_order,judgment,video_id
1,likeability,3
1,likeability,14
1,likeability,13
2,mentalizing,10
2,mentalizing,15
2,mentalizing,11
3,self_other,16
3,self_other,8
3,self_other,7
4,likeability,18
4,likeability,19
4,likeability,12
5,mentalizing,6
5,mentalizing,17
5,mentalizing,7
6,self_other,18
6,self_other,20
6,self_other,5
7,likeability,6
7,likeability,20
7,likeability,8
8,self_other,9
8,self_other,19
8,self_other,11
9,mentalizing,20
9,mentalizing,8
9,mentalizing,12
10,self_other,4
10,self_other,2
10,self_other,6
11,mentalizing,21
11,mentalizing,9
11,mentalizing,3
12,self_other,14
12,self_other,21
12,self_other,15
13,likeability,4
13,likeability,16
13,likeability,9
14,mentalizing,2
14,mentalizing,5
14,mentalizing,13
15,likeability,15
15,likeability,17
15,likeability,5
16,mentalizing,1
16,mentalizing,16
16,mentalizing,4
17,likeability,7
17,likeability,2
17,likeability,10
18,self_other,13
18,self_other,3
18,self_other,17
19,mentalizing,14
19,mentalizing,18
19,mentalizing,19
20,likeability,21
20,likeability,1
20,likeability,11
21,self_other,1
21,self_other,10
21,self_other,12
