block_order,judgment,video_id
1,self_other,1
1,self_other,12
1,self_other,10
2,mentalizing,11
2,mentalizing,15
2,mentalizing,10
3,self_other,21
3,self_other,15
3,self_other,14
4,mentalizing,7
4,mentalizing,17
4,mentalizing,6
5,likeability,1
5,likeability,11
5,likeability,21
6,mentalizing,20
6,mentalizing,12
6,mentalizing,8
7,likeability,12
7,likeability,19
7,likeability,18
8,self_other,2
8,self_other,4
8,self_other,6
9,mentalizing,9
9,mentalizing,3
9,mentalizing,21
10,likeability,4
10,likeability,16
10,likeability,9
11,self_other,8
11,self_other,16
11,self_other,7
12,likeability,8
12,likeability,20
12,likeability,6
13,self_other,18
13,self_other,20
13,self_other,5
14,mentalizing,13
14,mentalizing,5
14,mentalizing,2
15,likeability,5
15,likeability,15
15,likeability,17
16,self_other,19
16,self_other,9
16,self_other,11
17,likeability,7
17,likeability,2
17,likeability,10
18,self_other,3
18,self_other,17
18,self_other,13
19,mentalizing,4
19,mentalizing,16
19,mentalizing,1
20,likeability,3
20,likeability,13
20,likeability,14
21,mentalizing,19
21,mentalizing,14
21,mentalizing,18
