block_order,judgment,video_id
1,mentalizing,11
1,mentalizing,15
1,mentalizing,10
2,likeability,15
2,likeability,5
2,likeability,17
3,self_other,20
3,self_other,5
3,self_other,18
4,mentalizing,6
4,mentalizing,17
4,mentalizing,7
5,likeability,6
5,likeability,20
5,likeability,8
6,self_other,4
6,self_other,2
6,self_other,6
7,likeability,2
7,likeability,10
7,likeability,7
8,self_other,13
8,self_other,17
8,self_other,3
9,mentalizing,12
9,mentalizing,8
9,mentalizing,20
10,likeability,12
10,likeability,19
10,likeability,18
11,self_other,10
11,self_other,12
11,self_other,1
12,mentalizing,9
12,mentalizing,3
12,mentalizing,21
13,self_other,8
13,self_other,16
13,self_other,7
14,mentalizing,5
14,mentalizing,2
14,mentalizing,13
15,likeability,14
15,likeability,3
15,likeability,13
16,mentalizing,1
16,mentalizing,4
16,mentalizing,16
17,likeability,21
17,likeability,11
17,likeability,1
18,self_other,15
18,self_other,21
18,self_other,14
19,likeability,16
19,likeability,4
19,likeability,9
20,self_other,19
20,self_other,9
20,self_other,11
21,mentalizing,19
21,mentalizing,18
21,mentalizing,14
