block_order,judgment,video_id
1,likeability,14
1,likeability,13
1,likeability,3
2,self_other,6
2,self_other,4
2,self_other,2
3,mentalizing,10
3,mentalizing,11
3,mentalizing,15
4,self_other,11
4,self_other,19
4,self_other,9
5,likeability,21
5,likeability,1
5,likeability,11
6,self_other,15
6,self_other,14
6,self_other,21
7,mentalizing,6
7,mentalizing,7
7,mentalizing,17
8,likeability,20
8,likeability,8
8,likeability,6
9,mentalizing,8
9,mentalizing,12
9,mentalizing,20
10,likeability,18
10,likeability,19
10,likeability,12
11,self_other,13
11,self_other,3
11,self_other,17
12,mentalizing,21
12,mentalizing,3
12,mentalizing,9
13,likeability,7
13,likeability,2
13,likeability,10
14,mentalizing,2
14,mentalizing,13
14,mentalizing,5
15,self_other,18
15,self_other,20
15,self_other,5
16,mentalizing,1
16,mentalizing,4
16,mentalizing,16
17,likeability,9
17,likeability,4
17,likeability,16
18,self_other,12
18,self_other,1
18,self_other,10
19,likeability,17
19,likeability,15
19,likeability,5
20,mentalizing,19
20,mentalizing,14
20,mentalizing,18
21,self_other,7
21,self_other,16
21,self_other,8
