block_order,judgment,video_id
1,likeability,6
1,likeability,20
1,likeability,8
2,self_other,4
2,self_other,2
2,self_other,6
3,mentalizing,10
3,mentalizing,11
3,mentalizing,15
4,self_other,10
4,self_other,1
4,self_other,12
5,mentalizing,7
5,mentalizing,17
5,mentalizing,6
6,likeability,2
6,likeability,7
6,likeability,10
7,self_other,16
7,self_other,8
7,self_other,7
8,mentalizing,20
8,mentalizing,12
8,mentalizing,8
9,likeability,17
9,likeability,15
9,likeability,5
10,self_other,21
10,self_other,14
10,self_other,15
11,mentalizing,9
11,mentalizing,3
11,mentalizing,21
12,likeability,9
12,likeability,4
12,likeability,16
13,self_other,17
13,self_other,3
13,self_other,13
14,mentalizing,2
14,mentalizing,5
14,mentalizing,13
15,self_other,11
15,self_other,19
15,self_other,9
16,likeability,19
16,likeability,18
16,likeability,12
17,self_other,18
17,self_other,20
17,self_other,5
18,mentalizing,16
18,mentalizing,1
18,mentalizing,4
19,likeability,21
19,likeability,11
19,likeability,1
20,mentalizing,19
20,mentalizing,18
20,mentalizing,14
21,likeability,13
21,likeability,14
21,likeability,3
