block_order,judgment,video_id
1,likeability,18
1,likeability,12
1,likeability,19
2,mentalizing,15
2,mentalizing,10
2,mentalizing,11
3,self_other,17
3,self_other,13
3,self_other,3
4,mentalizing,7
4,mentalizing,6
4,mentalizing,17
5,likeability,8
5,likeability,20
5,likeability,6
6,self_other,6
6,self_other,4
6,self_other,2
7,mentalizing,8
7,mentalizing,20
7,mentalizing,12
8,likeability,2
8,likeability,10
8,likeability,7
9,mentalizing,3
9,mentalizing,21
9,mentalizing,9
10,likeability,15
10,likeability,17
10,likeability,5
11,self_other,1
11,self_other,12
11,self_other,10
12,likeability,11
12,likeability,21
12,likeability,1
13,mentalizing,13
13,mentalizing,5
13,mentalizing,2
14,self_other,15
14,self_other,14
14,self_other,21
15,likeability,13
15,likeability,3
15,likeability,14
16,self_other,19
16,self_other,9
16,self_other,11
17,mentalizing,1
17,mentalizing,16
17,mentalizing,4
18,self_other,8
18,self_other,7
18,self_other,16
19,likeability,4
19,likeability,9
19,likeability,16
20,mentalizing,19
20,mentalizing,14
20,mentalizing,18
21,self_other,5
21,self_other,20
21,self_other,18
