block_order,judgment,video_id
1,likeability,7
1,likeability,2
1,likeability,10
2,self_other,3
2,self_other,13
2,self_other,17
3,likeability,9
3,likeability,16
3,likeability,4
4,mentalizing,10
4,mentalizing,11
4,mentalizing,15
5,likeability,14
5,likeability,3
5,likeability,13
6,self_other,12
6,self_other,1
6,self_other,10
7,mentalizing,7
7,mentalizing,17
7,mentalizing,6
8,likeability,11
8,likeability,1
8,likeability,21
9,mentalizing,20
9,mentalizing,12
9,mentalizing,8
10,self_other,11
10,self_other,9
10,self_other,19
11,likeability,15
11,likeability,17
11,likeability,5
12,self_other,5
12,self_other,18
12,self_other,20
13,likeability,12
13,likeability,19
13,likeability,18
14,mentalizing,21
14,mentalizing,3
14,mentalizing,9
15,self_other,21
15,self_other,14
15,self_other,15
16,mentalizing,5
16,mentalizing,2
16,mentalizing,13
17,self_other,6
17,self_other,2
17,self_other,4
18,mentalizing,4
18,mentalizing,1
18,mentalizing,16
19,self_other,16
19,self_other,7
19,self_other,8
20,likeability,6
20,likeability,8
20,likeability,20
21,mentalizing,14
21,mentalizing,19
21,mentalizing,18
