block_order,judgment,video_id
1,likeability,7
1,likeability,2
1,likeability,10
2,mentalizing,15
2,mentalizing,10
2,mentalizing,11
3,likeability,14
3,likeability,13
3,likeability,3
4,mentalizing,7
4,mentalizing,17
4,mentalizing,6
5,likeability,16
5,likeability,9
5,likeability,4
6,self_other,6
6,self_other,4
6,self_other,2
7,likeability,6
7,likeability,8
7,likeability,20
8,mentalizing,8
8,mentalizing,12
8,mentalizing,20
9,likeability,17
9,likeability,15
9,likeability,5
10,self_other,20
10,self_other,5
10,self_other,18
11,mentalizing,21
11,mentalizing,3
11,mentalizing,9
12,self_other,14
12,self_other,21
12,self_other,15
13,mentalizing,5
13,mentalizing,13
13,mentalizing,2
14,self_other,7
14,self_other,16
14,self_other,8
15,mentalizing,1
15,mentalizing,4
15,mentalizing,16
16,likeability,21
16,likeability,11
16,likeability,1
17,self_other,19
17,self_other,9
17,self_other,11
18,likeability,19
18,likeability,18
18,likeability,12
19,self_other,17
19,self_other,13
19,self_other,3
20,mentalizing,14
20,mentalizing,19
20,mentalizing,18
21,self_other,1
21,self_other,10
21,self_other,12
