block_order,judgment,video_id
1,self_other,11
1,self_other,19
1,self_other,9
2,mentalizing,11
2,mentalizing,15
2,mentalizing,10
3,likeability,11
3,likeability,1
3,likeability,21
4,self_other,10
4,self_other,1
4,self_other,12
5,likeability,4
5,likeability,16
5,likeability,9
6,mentalizing,7
6,mentalizing,17
6,mentalizing,6
7,self_other,16
7,self_other,7
7,self_other,8
8,likeability,3
8,likeability,13
8,likeability,14
9,mentalizing,8
9,mentalizing,20
9,mentalizing,12
10,likeability,18
10,likeability,19
10,likeability,12
11,mentalizing,21
11,mentalizing,3
11,mentalizing,9
12,self_other,15
12,self_other,21
12,self_other,14
13,mentalizing,5
13,mentalizing,2
13,mentalizing,13
14,likeability,5
14,likeability,15
14,likeability,17
15,mentalizing,1
15,mentalizing,16
15,mentalizing,4
16,self_other,3
16,self_other,13
16,self_other,17
17,likeability,7
17,likeability,2
17,likeability,10
18,self_other,4
18,self_other,6
18,self_other,2
19,mentalizing,14
19,mentalizing,18
19,mentalizing,19
20,self_other,5
20,self_other,20
20,self_other,18
21,likeability,6
21,likeability,8
21,likeability,20
