block_order,judgment,video_id
1,likeability,16
1,likeability,9
1,likeability,4
2,self_other,11
2,self_other,19
2,self_other,9
3,mentalizing,11
3,mentalizing,15
3,mentalizing,10
4,likeability,13
4,likeability,14
4,likeability,3
5,mentalizing,7
5,mentalizing,17
5,mentalizing,6
6,likeability,10
6,likeability,7
6,likeability,2
7,self_other,1
7,self_other,12
7,self_other,10
8,likeability,1
8,likeability,21
8,likeability,11
9,mentalizing,12
9,mentalizing,20
9,mentalizing,8
10,self_other,17
10,self_other,3
10,self_other,13
11,mentalizing,21
11,mentalizing,3
11,mentalizing,9
12,likeability,18
12,likeability,19
12,likeability,12
13,self_other,20
13,self_other,5
13,self_other,18
14,mentalizing,2
14,mentalizing,13
14,mentalizing,5
15,self_other,6
15,self_other,2
15,self_other,4
16,mentalizing,1
16,mentalizing,16
16,mentalizing,4
17,likeability,8
17,likeability,6
17,likeability,20
18,self_other,8
18,self_other,7
18,self_other,16
19,mentalizing,19
19,mentalizing,14
19,mentalizing,18
20,self_other,21
20,self_other,14
20,self_other,15
21,likeability,15
21,likeability,5
21,likeability,17
