block_order,judgment,video_id
1,likeability,15
1,likeability,5
1,likeability,17
2,mentalizing,10
2,mentalizing,15
2,mentalizing,11
3,self_other,12
3,self_other,10
3,self_other,1
4,likeability,9
4,likeability,16
4,likeability,4
5,mentalizing,6
5,mentalizing,17
5,mentalizing,7
6,likeability,6
6,likeability,20
6,likeability,8
7,self_other,19
7,self_other,9
7,self_other,11
8,mentalizing,12
8,mentalizing,8
8,mentalizing,20
9,likeability,3
9,likeability,14
9,likeability,13
10,self_other,14
10,self_other,21
10,self_other,15
11,likeability,10
11,likeability,2
11,likeability,7
12,mentalizing,9
12,mentalizing,21
12,mentalizing,3
13,self_other,5
13,self_other,20
13,self_other,18
14,likeability,19
14,likeability,12
14,likeability,18
15,self_other,4
15,self_other,2
15,self_other,6
16,mentalizing,2
16,mentalizing,5
16,mentalizing,13
17,self_other,7
17,self_other,8
17,self_other,16
18,mentalizing,16
18,mentalizing,1
18,mentalizing,4
19,likeability,21
19,likeability,1
19,likeability,11
20,self_other,13
20,self_other,3
20,self_other,17
21,mentalizing,14
21,mentalizing,18
21,mentalizing,19
