block_order,judgment,video_id
1,likeability,1
1,likeability,11
1,likeability,21
2,mentalizing,10
2,mentalizing,15
2,mentalizing,11
3,self_other,5
3,self_other,20
3,self_other,18
4,mentalizing,6
4,mentalizing,7
4,mentalizing,17
5,self_other,15
5,self_other,14
5,self_other,21
6,mentalizing,8
6,mentalizing,12
6,mentalizing,20
7,likeability,16
7,likeability,4
7,likeability,9
8,mentalizing,21
8,mentalizing,3
8,mentalizing,9
9,self_other,7
9,self_other,16
9,self_other,8
10,likeability,7
10,likeability,2
10,likeability,10
11,mentalizing,2
11,mentalizing,13
11,mentalizing,5
12,self_other,6
12,self_other,4
12,self_other,2
13,mentalizing,16
13,mentalizing,4
13,mentalizing,1
14,likeability,13
14,likeability,14
14,likeability,3
15,mentalizing,14
15,mentalizing,18
15,mentalizing,19
16,likeability,17
16,likeability,5
16,likeability,15
17,self_other,9
17,self_other,11
17,self_other,19
18,likeability,20
18,likeability,8
18,likeability,6
19,self_other,3
19,self_other,13
19,self_other,17
20,likeability,12
20,likeability,19
20,likeability,18
21,self_other,10
21,self_other,1
21,self_other,12
