block_order,judgment,video_id
1,likeability,4
1,likeability,16
1,likeability,9
2,self_other,6
2,self_other,4
2,self_other,2
3,likeability,2
3,likeability,10
3,likeability,7
4,mentalizing,10
4,mentalizing,15
4,mentalizing,11
5,self_other,5
5,self_other,18
5,self_other,20
6,likeability,6
6,likeability,8
6,likeability,20
7,mentalizing,17
7,mentalizing,7
7,mentalizing,6
8,self_other,12
8,self_other,1
8,self_other,10
9,likeability,11
9,likeability,21
9,likeability,1
10,mentalizing,12
10,mentalizing,20
10,mentalizing,8
11,likeability,18
11,likeability,12
11,likeability,19
12,self_other,21
12,self_other,15
12,self_other,14
13,likeability,17
13,likeability,5
13,likeability,15
14,mentalizing,3
14,mentalizing,21
14,mentalizing,9
15,likeability,13
15,likeability,14
15,likeability,3
16,self_other,11
16,self_other,9
16,self_other,19
17,mentalizing,13
17,mentalizing,2
17,mentalizing,5
18,self_other,3
18,self_other,13
18,self_other,17
19,mentalizing,1
19,mentalizing,16
19,mentalizing,4
20,self_other,16
20,self_other,8
20,self_other,7
21,mentalizing,14
21,mentalizing,19
21,mentalizing,18
