block_order,judgment,video_id
1,self_other,20
1,self_other,5
1,self_other,18
2,likeability,13
2,likeability,3
2,likeability,14
3,mentalizing,15
3,mentalizing,10
3,mentalizing,11
4,likeability,5
4,likeability,17
4,likeability,15
5,mentalizing,7
5,mentalizing,17
5,mentalizing,6
6,likeability,4
6,likeability,16
6,likeability,9
7,mentalizing,8
7,mentalizing,12
7,mentalizing,20
8,self_other,13
8,self_other,17
8,self_other,3
9,mentalizing,3
9,mentalizing,21
9,mentalizing,9
10,self_other,21
10,self_other,14
10,self_other,15
11,mentalizing,13
11,mentalizing,2
11,mentalizing,5
12,self_other,7
12,self_other,8
12,self_other,16
13,mentalizing,16
13,mentalizing,1
13,mentalizing,4
14,likeability,2
14,likeability,10
14,likeability,7
15,self_other,6
15,self_other,2
15,self_other,4
16,likeability,20
16,likeability,8
16,likeability,6
17,mentalizing,14
17,mentalizing,19
17,mentalizing,18
18,likeability,12
18,likeability,19
18,likeability,18
19,self_other,1
19,self_other,10
19,self_other,12
20,likeability,1
20,likeability,21
20,likeability,11
21,self_other,11
21,self_other,19
21,self_other,9
