block_order,judgment,video_id
1,self_other,4
1,self_other,6
1,self_other,2
2,likeability,14
2,likeability,13
2,likeability,3
3,mentalizing,15
3,mentalizing,11
3,mentalizing,10
4,likeability,5
4,likeability,15
4,likeability,17
5,mentalizing,6
5,mentalizing,7
5,mentalizing,17
6,self_other,1
6,self_other,10
6,self_other,12
7,mentalizing,12
7,mentalizing,8
7,mentalizing,20
8,self_other,9
8,self_other,19
8,self_other,11
9,mentalizing,9
9,mentalizing,3
9,mentalizing,21
10,likeability,8
10,likeability,20
10,likeability,6
11,self_other,21
11,self_other,15
11,self_other,14
12,likeability,18
12,likeability,12
12,likeability,19
13,mentalizing,2
13,mentalizing,5
13,mentalizing,13
14,self_other,5
14,self_other,18
14,self_other,20
15,likeability,4
15,likeability,16
15,likeability,9
16,mentalizing,4
16,mentalizing,1
16,mentalizing,16
17,likeability,10
17,likeability,7
17,likeability,2
18,mentalizing,14
18,mentalizing,18
18,mentalizing,19
19,self_other,13
19,self_other,3
19,self_other,17
20,likeability,11
20,likeability,1
20,likeability,21
21,self_other,7
21,self_other,8
21,self_other,16
