block_order,judgment,video_id
1,likeability,11
1,likeability,1
1,likeability,21
2,self_other,17
2,self_other,3
2,self_other,13
3,likeability,12
3,likeability,18
3,likeability,19
4,self_other,10
4,self_other,1
4,self_other,12
5,likeability,6
5,likeability,8
5,likeability,20
6,mentalizing,11
6,mentalizing,10
6,mentalizing,15
7,likeability,4
7,likeability,16
7,likeability,9
8,self_other,21
8,self_other,14
8,self_other,15
9,likeability,10
9,likeability,2
9,likeability,7
10,mentalizing,17
10,mentalizing,6
10,mentalizing,7
11,self_other,4
11,self_other,6
11,self_other,2
12,mentalizing,20
12,mentalizing,12
12,mentalizing,8
13,likeability,13
13,likeability,14
13,likeability,3
14,mentalizing,9
14,mentalizing,21
14,mentalizing,3
15,self_other,18
15,self_other,5
15,self_other,20
16,mentalizing,5
16,mentalizing,13
16,mentalizing,2
17,self_other,19
17,self_other,9
17,self_other,11
18,mentalizing,1
18,mentalizing,16
18,mentalizing,4
19,likeability,5
19,likeability,15
19,likeability,17
20,self_other,8
20,self_other,7
20,self_other,16
21,mentalizing,19
21,mentalizing,18
21,mentalizing,14
