block_order,judgment,video_id
1,likeability,4
1,likeability,9
1,likeability,16
2,self_other,14
2,self_other,21
2,self_other,15
3,mentalizing,11
3,mentalizing,15
3,mentalizing,10
4,self_other,2
4,self_other,6
4,self_other,4
5,likeability,15
5,likeability,17
5,likeability,5
6,self_other,20
6,self_other,5
6,self_other,18
7,likeability,14
7,likeability,13
7,likeability,3
8,mentalizing,17
8,mentalizing,6
8,mentalizing,7
9,likeability,21
9,likeability,1
9,likeability,11
10,self_other,7
10,self_other,16
10,self_other,8
11,mentalizing,8
11,mentalizing,20
11,mentalizing,12
12,likeability,18
12,likeability,19
12,likeability,12
13,mentalizing,3
13,mentalizing,21
13,mentalizing,9
14,likeability,6
14,likeability,8
14,likeability,20
15,mentalizing,5
15,mentalizing,13
15,mentalizing,2
16,self_other,3
16,self_other,13
16,self_other,17
17,mentalizing,4
17,mentalizing,1
17,mentalizing,16
18,self_other,10
18,self_other,1
18,self_other,12
19,likeability,2
19,likeability,7
19,likeability,10
20,self_other,9
20,self_other,19
20,self_other,11
21,mentalizing,14
21,mentalizing,19
21,mentalizing,18
