block_order,judgment,video_id
1,self_other,20
1,self_other,5
1,self_other,18
2,likeability,19
2,likeability,12
2,likeability,18
3,self_other,19
3,self_other,9
3,self_other,11
4,likeability,7
4,likeability,10
4,likeability,2
5,mentalizing,10
5,mentalizing,11
5,mentalizing,15
6,likeability,21
6,likeability,1
6,likeability,11
7,mentalizing,17
7,mentalizing,7
7,mentalizing,6
8,likeability,16
8,likeability,9
8,likeability,4
9,mentalizing,8
9,mentalizing,20
9,mentalizing,12
10,likeability,15
10,likeability,17
10,likeability,5
11,self_other,12
11,self_other,10
11,self_other,1
12,mentalizing,9
12,mentalizing,3
12,mentalizing,21
13,self_other,21
13,self_other,14
13,self_other,15
14,mentalizing,5
14,mentalizing,2
14,mentalizing,13
15,self_other,8
15,self_other,16
15,self_other,7
16,mentalizing,4
16,mentalizing,1
16,mentalizing,16
17,self_other,17
17,self_other,3
17,self_other,13
18,likeability,6
18,likeability,20
18,likeability,8
19,mentalizing,19
19,mentalizing,18
19,mentalizing,14
20,likeability,3
20,likeability,14
20,likeability,13
21,self_other,4
21,self_other,2
21,self_other,6
