block_order,judgment,video_id
1,likeability,6
1,likeability,8
1,likeability,20
2,self_other,14
2,self_other,21
2,self_other,15
3,mentalizing,11
3,mentalizing,15
3,mentalizing,10
4,self_other,12
4,self_other,1
4,self_other,10
5,mentalizing,6
5,mentalizing,7
5,mentalizing,17
6,self_other,13
6,self_other,17
6,self_other,3
7,likeability,9
7,likeability,16
7,likeability,4
8,self_other,11
8,self_other,19
8,self_other,9
9,likeability,3
9,likeability,14
9,likeability,13
10,mentalizing,12
10,mentalizing,8
10,mentalizing,20
11,likeability,11
11,likeability,21
11,likeability,1
12,self_other,6
12,self_other,2
12,self_other,4
13,likeability,5
13,likeability,15
13,likeability,17
14,mentalizing,9
14,mentalizing,3
14,mentalizing,21
15,likeability,12
15,likeability,18
15,likeability,19
16,mentalizing,5
16,mentalizing,2
16,mentalizing,13
17,likeability,7
17,likeability,10
17,likeability,2
18,self_other,7
18,self_other,16
18,self_other,8
19,mentalizing,1
19,mentalizing,4
19,mentalizing,16
20,self_other,20
20,self_other,18
20,self_other,5
21,mentalizing,18
21,mentalizing,19
21,mentalizing,14
