block_order,judgment,video_id
1,self_other,6
1,self_other,2
1,self_other,4
2,likeability,16
2,likeability,4
2,likeability,9
3,self_other,19
3,self_other,9
3,self_other,11
4,likeability,7
4,likeability,2
4,likeability,10
5,self_other,18
5,self_other,5
5,self_other,20
6,mentalizing,15
6,mentalizing,10
6,mentalizing,11
7,likeability,6
7,likeability,20
7,likeability,8
8,mentalizing,6
8,mentalizing,7
8,mentalizing,17
9,likeability,13
9,likeability,3
9,likeability,14
10,mentalizing,12
10,mentalizing,20
10,mentalizing,8
11,self_other,12
11,self_other,1
11,self_other,10
12,mentalizing,3
12,mentalizing,9
12,mentalizing,21
13,likeability,17
13,likeability,15
13,likeability,5
14,mentalizing,5
14,mentalizing,2
14,mentalizing,13
15,self_other,14
15,self_other,15
15,self_other,21
16,likeability,21
16,likeability,11
16,likeability,1
17,mentalizing,4
17,mentalizing,16
17,mentalizing,1
18,self_other,8
18,self_other,16
18,self_other,7
19,mentalizing,18
19,mentalizing,14
19,mentalizing,19
20,self_other,3
20,self_other,17
20,self_other,13
21,likeability,18
21,likeability,12
21,likeability,19
