block_order,judgment,video_id
1,self_other,18
1,self_other,5
1,self_other,20
2,mentalizing,15
2,mentalizing,11
2,mentalizing,10
3,likeability,15
3,likeability,17
3,likeability,5
4,mentalizing,7
4,mentalizing,17
4,mentalizing,6
5,self_other,14
5,self_other,21
5,self_other,15
6,mentalizing,12
6,mentalizing,8
6,mentalizing,20
7,self_other,3
7,self_other,17
7,self_other,13
8,likeability,1
8,likeability,21
8,likeability,11
9,self_other,10
9,self_other,1
9,self_other,12
10,likeability,9
10,likeability,4
10,likeability,16
11,self_other,4
11,self_other,6
11,self_other,2
12,mentalizing,3
12,mentalizing,9
12,mentalizing,21
13,self_other,7
13,self_other,16
13,self_other,8
14,likeability,14
14,likeability,3
14,likeability,13
15,mentalizing,5
15,mentalizing,13
15,mentalizing,2
16,likeability,2
16,likeability,7
16,likeability,10
17,mentalizing,16
17,mentalizing,4
17,mentalizing,1
18,self_other,11
18,self_other,9
18,self_other,19
19,likeability,19
19,likeability,12
19,likeability,18
20,mentalizing,14
20,mentalizing,18
20,mentalizing,19
21,likeability,6
21,likeability,20
21,likeability,8
