block_order,judgment,video_id
1,likeability,21
1,likeability,1
1,likeability,11
2,self_other,15
2,self_other,21
2,self_other,14
3,mentalizing,10
3,mentalizing,11
3,mentalizing,15
4,self_other,20
4,self_other,5
4,self_other,18
5,likeability,18
5,likeability,19
5,likeability,12
6,self_other,13
6,self_other,3
6,self_other,17
7,mentalizing,6
7,mentalizing,7
7,mentalizing,17
8,likeability,8
8,likeability,6
8,likeability,20
9,mentalizing,20
9,mentalizing,8
9,mentalizing,12
10,self_other,8
10,self_other,7
10,self_other,16
11,mentalizing,9
11,mentalizing,21
11,mentalizing,3
12,likeability,4
12,likeability,9
12,likeability,16
13,self_other,2
13,self_other,4
13,self_other,6
14,likeability,14
14,likeability,3
14,likeability,13
15,self_other,10
15,self_other,12
15,self_other,1
16,mentalizing,13
16,mentalizing,2
16,mentalizing,5
17,self_other,19
17,self_other,11
17,self_other,9
18,likeability,5
18,likeability,17
18,likeability,15
19,mentalizing,1
19,mentalizing,4
19,mentalizing,16
20,likeability,10
20,likeability,2
20,likeability,7
21,mentalizing,14
21,mentalizing,19
21,mentalizing,18
