block_order,judgment,video_id
1,mentalizing,11
1,mentalizing,15
1,mentalizing,10
2,likeability,10
2,likeability,2
2,likeability,7
3,self_other,10
3,self_other,12
3,self_other,1
4,mentalizing,7
4,mentalizing,17
4,mentalizing,6
5,likeability,14
5,likeability,3
5,likeability,13
6,self_other,4
6,self_other,6
6,self_other,2
7,mentalizing,12
7,mentalizing,8
7,mentalizing,20
8,likeability,8
8,likeability,20
8,likeability,6
9,self_other,11
9,self_other,19
9,self_other,9
10,likeability,19
10,likeability,12
10,likeability,18
11,self_other,5
11,self_other,18
11,self_other,20
12,likeability,21
12,likeability,11
12,likeability,1
13,mentalizing,3
13,mentalizing,9
13,mentalizing,21
14,self_other,3
14,self_other,13
14,self_other,17
15,mentalizing,2
15,mentalizing,5
15,mentalizing,13
16,likeability,9
16,likeability,16
16,likeability,4
17,mentalizing,4
17,mentalizing,16
17,mentalizing,1
18,likeability,15
18,likeability,17
18,likeability,5
19,self_other,8
19,self_other,7
19,self_other,16
20,mentalizing,19
20,mentalizing,18
20,mentalizing,14
21,self_other,14
21,self_other,21
21,self_other,15
