block_order,judgment,video_id
1,likeability,7
1,likeability,2
1,likeability,10
2,mentalizing,15
2,mentalizing,10
2,mentalizing,11
3,self_other,4
3,self_other,2
3,self_other,6
4,likeability,11
4,likeability,1
4,likeability,21
5,self_other,11
5,self_other,9
5,self_other,19
6,mentalizing,6
6,mentalizing,7
6,mentalizing,17
7,self_other,21
7,self_other,15
7,self_other,14
8,mentalizing,12
8,mentalizing,20
8,mentalizing,8
9,self_other,13
9,self_other,3
9,self_other,17
10,mentalizing,9
10,mentalizing,21
10,mentalizing,3
11,self_other,20
11,self_other,5
11,self_other,18
12,likeability,8
12,likeability,20
12,likeability,6
13,mentalizing,5
13,mentalizing,2
13,mentalizing,13
14,likeability,17
14,likeability,5
14,likeability,15
15,self_other,8
15,self_other,16
15,self_other,7
16,likeability,14
16,likeability,3
16,likeability,13
17,self_other,12
17,self_other,1
17,self_other,10
18,likeability,4
18,likeability,9
18,likeability,16
19,mentalizing,16
19,mentalizing,4
19,mentalizing,1
20,likeability,12
20,likeability,19
20,likeability,18
21,mentalizing,19
21,mentalizing,18
21,mentalizing,14
