block_order,judgment,video_id
1,likeability,14
1,likeability,13
1,likeability,3
2,self_other,5
2,self_other,20
2,self_other,18
3,mentalizing,11
3,mentalizing,10
3,mentalizing,15
4,likeability,8
4,likeability,20
4,likeability,6
5,self_other,7
5,self_other,8
5,self_other,16
6,mentalizing,6
6,mentalizing,7
6,mentalizing,17
7,likeability,4
7,likeability,9
7,likeability,16
8,self_other,3
8,self_other,17
8,self_other,13
9,mentalizing,8
9,mentalizing,12
9,mentalizing,20
10,self_other,9
10,self_other,19
10,self_other,11
11,likeability,1
11,likeability,11
11,likeability,21
12,self_other,6
12,self_other,4
12,self_other,2
13,mentalizing,21
13,mentalizing,9
13,mentalizing,3
14,likeability,15
14,likeability,17
14,likeability,5
15,mentalizing,13
15,mentalizing,5
15,mentalizing,2
16,likeability,12
16,likeability,19
16,likeability,18
17,self_other,21
17,self_other,15
17,self_other,14
18,mentalizing,16
18,mentalizing,1
18,mentalizing,4
19,self_other,1
19,self_other,12
19,self_other,10
20,likeability,2
20,likeability,10
20,likeability,7
21,mentalizing,14
21,mentalizing,18
21,mentalizing,19
