block_order,judgment,video_id
1,self_other,10
1,self_other,12
1,self_other,1
2,likeability,4
2,likeability,9
2,likeability,16
3,self_other,2
3,self_other,4
3,self_other,6
4,mentalizing,11
4,mentalizing,15
4,mentalizing,10
5,likeability,11
5,likeability,1
5,likeability,21
6,self_other,13
6,self_other,3
6,self_other,17
7,mentalizing,17
7,mentalizing,7
7,mentalizing,6
8,likeability,8
8,likeability,20
8,likeability,6
9,mentalizing,20
9,mentalizing,12
9,mentalizing,8
10,likeability,2
10,likeability,7
10,likeability,10
11,mentalizing,3
11,mentalizing,9
11,mentalizing,21
12,self_other,20
12,self_other,5
12,self_other,18
13,likeability,14
13,likeability,3
13,likeability,13
14,mentalizing,2
14,mentalizing,5
14,mentalizing,13
15,likeability,5
15,likeability,15
15,likeability,17
16,self_other,16
16,self_other,8
16,self_other,7
17,mentalizing,16
17,mentalizing,1
17,mentalizing,4
18,self_other,15
18,self_other,21
18,self_other,14
19,likeability,19
19,likeability,12
19,likeability,18
20,mentalizing,14
20,mentalizing,19
20,mentalizing,18
21,self_other,11
21,self_other,19
21,self_other,9
