block_order,judgment,video_id
1,self_other,18
1,self_other,5
1,self_other,20
2,likeability,3
2,likeability,14
2,likeability,13
3,mentalizing,15
3,mentalizing,10
3,mentalizing,11
4,self_other,11
4,self_other,19
4,self_other,9
5,mentalizing,7
5,mentalizing,17
5,mentalizing,6
6,self_other,7
6,self_other,8
6,self_other,16
7,likeability,20
7,likeability,6
7,likeability,8
8,mentalizing,8
8,mentalizing,20
8,mentalizing,12
9,likeability,5
9,likeability,15
9,likeability,17
10,self_other,12
10,self_other,10
10,self_other,1
11,likeability,7
11,likeability,10
11,likeability,2
12,self_other,2
12,self_other,6
12,self_other,4
13,mentalizing,3
13,mentalizing,21
13,mentalizing,9
14,likeability,18
14,likeability,12
14,likeability,19
15,mentalizing,5
15,mentalizing,13
15,mentalizing,2
16,likeability,21
16,likeability,11
16,likeability,1
17,self_other,17
17,self_other,13
17,self_other,3
18,mentalizing,16
18,mentalizing,4
18,mentalizing,1
19,self_other,15
19,self_other,21
19,self_other,14
20,mentalizing,19
20,mentalizing,14
20,mentalizing,18
21,likeability,16
21,likeability,4
21,likeability,9
