block_order,judgment,video_id
1,likeability,21
1,likeability,1
1,likeability,11
2,self_other,6
2,self_other,4
2,self_other,2
3,mentalizing,10
3,mentalizing,11
3,mentalizing,15
4,self_other,21
4,self_other,15
4,self_other,14
5,likeability,20
5,likeability,6
5,likeability,8
6,self_other,12
6,self_other,1
6,self_other,10
7,likeability,3
7,likeability,13
7,likeability,14
8,self_other,20
8,self_other,5
8,self_other,18
9,likeability,4
9,likeability,16
9,likeability,9
10,mentalizing,17
10,mentalizing,7
10,mentalizing,6
11,self_other,7
11,self_other,16
11,self_other,8
12,mentalizing,20
12,mentalizing,8
12,mentalizing,12
13,self_other,3
13,self_other,17
13,self_other,13
14,mentalizing,21
14,mentalizing,9
14,mentalizing,3
15,likeability,5
15,likeability,17
15,likeability,15
16,self_other,11
16,self_other,19
16,self_other,9
17,mentalizing,5
17,mentalizing,2
17,mentalizing,13
18,likeability,12
18,likeability,18
18,likeability,19
19,mentalizing,4
19,mentalizing,16
19,mentalizing,1
20,likeability,10
20,likeability,7
20,likeability,2
21,mentalizing,14
21,mentalizing,18
21,mentalizing,19
