block_order,judgment,video_id
1,mentalizing,10
1,mentalizing,11
1,mentalizing,15
2,likeability,4
2,likeability,16
2,likeability,9
3,self_other,6
3,self_other,4
3,self_other,2
4,likeability,8
4,likeability,6
4,likeability,20
5,mentalizing,7
5,mentalizing,17
5,mentalizing,6
6,self_other,12
6,self_other,1
6,self_other,10
7,likeability,2
7,likeability,7
7,likeability,10
8,mentalizing,12
8,mentalizing,8
8,mentalizing,20
9,self_other,9
9,self_other,19
9,self_other,11
10,likeability,17
10,likeability,5
10,likeability,15
11,self_other,3
11,self_other,13
11,self_other,17
12,likeability,3
12,likeability,13
12,likeability,14
13,self_other,15
13,self_other,14
13,self_other,21
14,mentalizing,21
14,mentalizing,9
14,mentalizing,3
15,self_other,20
15,self_other,18
15,self_other,5
16,mentalizing,5
16,mentalizing,2
16,mentalizing,13
17,likeability,11
17,likeability,1
17,likeability,21
18,mentalizing,1
18,mentalizing,4
18,mentalizing,16
19,likeability,12
19,likeability,18
19,likeability,19
20,mentalizing,14
20,mentalizing,19
20,mentalizing,18
21,self_other,7
21,self_other,8
21,self_other,16
