block_order,judgment,video_id
1,mentalizing,11
1,mentalizing,10
1,mentalizing,15
2,likeability,18
2,likeability,12
2,likeability,19
3,mentalizing,7
3,mentalizing,17
3,mentalizing,6
4,self_other,8
4,self_other,16
4,self_other,7
5,mentalizing,12
5,mentalizing,20
5,mentalizing,8
6,likeability,6
6,likeability,20
6,likeability,8
7,self_other,11
7,self_other,9
7,self_other,19
8,likeability,9
8,likeability,16
8,likeability,4
9,self_other,14
9,self_other,15
9,self_other,21
10,likeability,10
10,likeability,7
10,likeability,2
11,self_other,5
11,self_other,18
11,self_other,20
12,mentalizing,21
12,mentalizing,3
12,mentalizing,9
13,self_other,10
13,self_other,12
13,self_other,1
14,likeability,17
14,likeability,15
14,likeability,5
15,self_other,4
15,self_other,2
15,self_other,6
16,mentalizing,5
16,mentalizing,2
16,mentalizing,13
17,likeability,3
17,likeability,13
17,likeability,14
18,mentalizing,16
18,mentalizing,4
18,mentalizing,1
19,self_other,3
19,self_other,13
19,self_other,17
20,likeability,11
20,likeability,1
20,likeability,21
21,mentalizing,19
21,mentalizing,18
21,mentalizing,14
