block_order,judgment,video_id
1,mentalizing,15
1,mentalizing,10
1,mentalizing,11
2,self_other,3
2,self_other,13
2,self_other,17
3,mentalizing,6
3,mentalizing,7
3,mentalizing,17
4,likeability,21
4,likeability,11
4,likeability,1
5,mentalizing,20
5,mentalizing,12
5,mentalizing,8
6,self_other,9
6,self_other,11
6,self_other,19
7,mentalizing,9
7,mentalizing,21
7,mentalizing,3
8,self_other,10
8,self_other,1
8,self_other,12
9,likeability,16
9,likeability,9
9,likeability,4
10,mentalizing,2
10,mentalizing,5
10,mentalizing,13
11,self_other,6
11,self_other,4
11,self_other,2
12,mentalizing,4
12,mentalizing,16
12,mentalizing,1
13,likeability,2
13,likeability,10
13,likeability,7
14,self_other,20
14,self_other,5
14,self_other,18
15,likeability,3
15,likeability,14
15,likeability,13
16,self_other,7
16,self_other,8
16,self_other,16
17,likeability,19
17,likeability,18
17,likeability,12
18,mentalizing,18
18,mentalizing,19
18,mentalizing,14
19,likeability,8
19,likeability,20
19,likeability,6
20,self_other,15
20,self_other,21
20,self_other,14
21,likeability,5
21,likeability,15
21,likeability,17
