block_order,judgment,video_id
1,mentalizing,11
1,mentalizing,10
1,mentalizing,15
2,likeability,12
2,likeability,19
2,likeability,18
3,mentalizing,17
3,mentalizing,7
3,mentalizing,6
4,likeability,16
4,likeability,4
4,likeability,9
5,self_other,1
5,self_other,12
5,self_other,10
6,mentalizing,8
6,mentalizing,20
6,mentalizing,12
7,self_other,9
7,self_other,19
7,self_other,11
8,likeability,1
8,likeability,21
8,likeability,11
9,self_other,4
9,self_other,6
9,self_other,2
10,mentalizing,3
10,mentalizing,21
10,mentalizing,9
11,likeability,6
11,likeability,8
11,likeability,20
12,self_other,3
12,self_other,17
12,self_other,13
13,likeability,7
13,likeability,2
13,likeability,10
14,self_other,5
14,self_other,18
14,self_other,20
15,mentalizing,13
15,mentalizing,5
15,mentalizing,2
16,likeability,3
16,likeability,14
16,likeability,13
17,mentalizing,1
17,mentalizing,16
17,mentalizing,4
18,self_other,16
18,self_other,7
18,self_other,8
19,mentalizing,14
19,mentalizing,18
19,mentalizing,19
20,self_other,15
20,self_other,14
20,self_other,21
21,likeability,17
21,likeability,15
21,likeability,5
