block_order,judgment,video_id
1,likeability,19
1,likeability,18
1,likeability,12
2,mentalizing,10
2,mentalizing,11
2,mentalizing,15
3,self_other,9
3,self_other,19
3,self_other,11
4,likeability,10
4,likeability,7
4,likeability,2
5,mentalizing,7
5,mentalizing,17
5,mentalizing,6
6,self_other,3
6,self_other,17
6,self_other,13
7,likeability,21
7,likeability,1
7,likeability,11
8,self_other,1
8,self_other,12
8,self_other,10
9,mentalizing,12
9,mentalizing,8
9,mentalizing,20
10,self_other,7
10,self_other,8
10,self_other,16
11,likeability,3
11,likeability,13
11,likeability,14
12,mentalizing,9
12,mentalizing,21
12,mentalizing,3
13,likeability,20
13,likeability,6
13,likeability,8
14,self_other,15
14,self_other,14
14,self_other,21
15,likeability,5
15,likeability,17
15,likeability,15
16,self_other,2
16,self_other,4
16,self_other,6
17,mentalizing,13
17,mentalizing,5
17,mentalizing,2
18,likeability,9
18,likeability,16
18,likeability,4
19,mentalizing,1
19,mentalizing,4
19,mentalizing,16
20,self_other,5
20,self_other,18
20,self_other,20
21,mentalizing,14
21,mentalizing,19
21,mentalizing,18
