block_order,judgment,video_id
1,self_other,4
1,self_other,6
1,self_other,2
2,mentalizing,15
2,mentalizing,10
2,mentalizing,11
3,self_other,14
3,self_other,15
3,self_other,21
4,likeability,5
4,likeability,17
4,likeability,15
5,mentalizing,7
5,mentalizing,17
5,mentalizing,6
6,self_other,16
6,self_other,8
6,self_other,7
7,mentalizing,12
7,mentalizing,8
7,mentalizing,20
8,self_other,1
8,self_other,10
8,self_other,12
9,likeability,16
9,likeability,9
9,likeability,4
10,mentalizing,3
10,mentalizing,21
10,mentalizing,9
11,self_other,18
11,self_other,5
11,self_other,20
12,likeability,19
12,likeability,12
12,likeability,18
13,mentalizing,5
13,mentalizing,2
13,mentalizing,13
14,self_other,19
14,self_other,9
14,self_other,11
15,likeability,20
15,likeability,8
15,likeability,6
16,mentalizing,1
16,mentalizing,16
16,mentalizing,4
17,likeability,21
17,likeability,1
17,likeability,11
18,mentalizing,14
18,mentalizing,18
18,mentalizing,19
19,likeability,13
19,likeability,3
19,likeability,14
20,self_other,13
20,self_other,3
20,self_other,17
21,likeability,7
21,likeability,2
21,likeability,10
