block_order,judgment,video_id
1,self_other,16
1,self_other,8
1,self_other,7
2,likeability,21
2,likeability,1
2,likeability,11
3,mentalizing,15
3,mentalizing,11
3,mentalizing,10
4,likeability,16
4,likeability,9
4,likeability,4
5,mentalizing,6
5,mentalizing,7
5,mentalizing,17
6,likeability,2
6,likeability,10
6,likeability,7
7,self_other,3
7,self_other,17
7,self_other,13
8,likeability,6
8,likeability,8
8,likeability,20
9,mentalizing,12
9,mentalizing,20
9,mentalizing,8
10,likeability,17
10,likeability,5
10,likeability,15
11,mentalizing,9
11,mentalizing,21
11,mentalizing,3
12,self_other,19
12,self_other,11
12,self_other,9
13,likeability,13
13,likeability,14
13,likeability,3
14,self_other,18
14,self_other,20
14,self_other,5
15,mentalizing,5
15,mentalizing,2
15,mentalizing,13
16,self_other,6
16,self_other,4
16,self_other,2
17,mentalizing,1
17,mentalizing,4
17,mentalizing,16
18,self_other,12
18,self_other,10
18,self_other,1
19,mentalizing,19
19,mentalizing,18
19,mentalizing,14
20,likeability,18
20,likeability,19
20,likeability,12
21,self_other,15
21,self_other,21
21,self_other,14
