block_order,judgment,video_id
1,self_other,7
1,self_other,8
1,self_other,16
2,likeability,5
2,likeability,15
2,likeability,17
3,mentalizing,10
3,mentalizing,15
3,mentalizing,11
4,likeability,6
4,likeability,20
4,likeability,8
5,self_other,15
5,self_other,21
5,self_other,14
6,likeability,4
6,likeability,16
6,likeability,9
7,mentalizing,6
7,mentalizing,17
7,mentalizing,7
8,likeability,1
8,likeability,11
8,likeability,21
9,mentalizing,8
9,mentalizing,20
9,mentalizing,12
10,self_other,19
10,self_other,9
10,self_other,11
11,mentalizing,9
11,mentalizing,3
11,mentalizing,21
12,self_other,13
12,self_other,3
12,self_other,17
13,mentalizing,5
13,mentalizing,2
13,mentalizing,13
14,likeability,3
14,likeability,13
14,likeability,14
15,mentalizing,4
15,mentalizing,16
15,mentalizing,1
16,self_other,4
16,self_other,2
16,self_other,6
17,likeability,10
17,likeability,7
17,likeability,2
18,self_other,5
18,self_other,20
18,self_other,18
19,likeability,18
19,likeability,19
19,likeability,12
20,self_other,10
20,self_other,1
20,self_other,12
21,mentalizing,19
21,mentalizing,14
21,mentalizing,18
