block_order,judgment,video_id
1,likeability,10
1,likeability,2
1,likeability,7
2,mentalizing,10
2,mentalizing,11
2,mentalizing,15
3,likeability,13
3,likeability,3
3,likeability,14
4,mentalizing,17
4,mentalizing,6
4,mentalizing,7
5,likeability,16
5,likeability,9
5,likeability,4
6,self_other,13
6,self_other,17
6,self_other,3
7,mentalizing,8
7,mentalizing,12
7,mentalizing,20
8,likeability,5
8,likeability,15
8,likeability,17
9,self_other,18
9,self_other,5
9,self_other,20
10,mentalizing,9
10,mentalizing,3
10,mentalizing,21
11,self_other,14
11,self_other,21
11,self_other,15
12,mentalizing,5
12,mentalizing,13
12,mentalizing,2
13,self_other,12
13,self_other,10
13,self_other,1
14,likeability,11
14,likeability,1
14,likeability,21
15,self_other,6
15,self_other,2
15,self_other,4
16,likeability,6
16,likeability,8
16,likeability,20
17,mentalizing,16
17,mentalizing,4
17,mentalizing,1
18,self_other,7
18,self_other,16
18,self_other,8
19,mentalizing,19
19,mentalizing,14
19,mentalizing,18
20,likeability,12
20,likeability,19
20,likeability,18
21,self_other,19
21,self_other,9
21,self_other,11
