block_order,judgment,video_id
1,likeability,9
1,likeability,4
1,likeability,16
2,mentalizing,10
2,mentalizing,15
2,mentalizing,11
3,self_other,20
3,self_other,5
3,self_other,18
4,likeability,7
4,likeability,10
4,likeability,2
5,mentalizing,7
5,mentalizing,17
5,mentalizing,6
6,likeability,13
6,likeability,14
6,likeability,3
7,mentalizing,20
7,mentalizing,8
7,mentalizing,12
8,likeability,20
8,likeability,8
8,likeability,6
9,mentalizing,3
9,mentalizing,9
9,mentalizing,21
10,self_other,13
10,self_other,3
10,self_other,17
11,likeability,12
11,likeability,19
11,likeability,18
12,self_other,15
12,self_other,14
12,self_other,21
13,mentalizing,2
13,mentalizing,13
13,mentalizing,5
14,self_other,6
14,self_other,2
14,self_other,4
15,likeability,5
15,likeability,15
15,likeability,17
16,self_other,10
16,self_other,1
16,self_other,12
17,mentalizing,4
17,mentalizing,16
17,mentalizing,1
18,self_other,8
18,self_other,16
18,self_other,7
19,likeability,1
19,likeability,21
19,likeability,11
20,mentalizing,19
20,mentalizing,14
20,mentalizing,18
21,self_other,19
21,self_other,11
21,self_other,9
