block_order,judgment,video_id
1,self_other,2
1,self_other,6
1,self_other,4
2,likeability,14
2,likeability,13
2,likeability,3
3,mentalizing,10
3,mentalizing,15
3,mentalizing,11
4,likeability,9
4,likeability,4
4,likeability,16
5,mentalizing,17
5,mentalizing,6
5,mentalizing,7
6,likeability,7
6,likeability,2
6,likeability,10
7,self_other,3
7,self_other,13
7,self_other,17
8,mentalizing,8
8,mentalizing,20
8,mentalizing,12
9,likeability,18
9,likeability,12
9,likeability,19
10,mentalizing,9
10,mentalizing,21
10,mentalizing,3
11,likeability,11
11,likeability,1
11,likeability,21
12,self_other,8
12,self_other,16
12,self_other,7
13,likeability,5
13,likeability,15
13,likeability,17
14,self_other,21
14,self_other,14
14,self_other,15
15,mentalizing,2
15,mentalizing,5
15,mentalizing,13
16,likeability,8
16,likeability,20
16,likeability,6
17,self_other,5
17,self_other,20
17,self_other,18
18,mentalizing,4
18,mentalizing,1
18,mentalizing,16
19,self_other,1
19,self_other,10
19,self_other,12
20,mentalizing,18
20,mentalizing,19
20,mentalizing,14
21,self_other,11
21,self_other,9
21,self_other,19
